,datetime,close,RSI,RSI_SMA,Signal,ltp
5392,2022-07-27 15:15:00,16644.55,70.92,41.96928571428572,Sell,181.6
5519,2022-08-19 15:15:00,17736.3,27.48,46.73857142857143,Buy,193.71
5572,2022-08-30 13:15:00,17662.6,85.83,43.24357142857143,Sell,192.85
5673,2022-09-16 14:15:00,17542.35,23.06,39.26928571428572,Buy,191.88
5686,2022-09-20 09:15:00,17855.3,81.51,35.48285714285714,Sell,194.01
5713,2022-09-23 09:15:00,17460.3,27.97,35.644285714285715,Buy,192.75
5766,2022-10-03 08:15:00,17102.1,73.44,53.21071428571428,Sell,186.31
5800,2022-10-10 09:15:00,17085.9,20.81,54.65071428571429,Buy,187.45
5835,2022-10-14 08:15:00,17322.3,74.31,49.57928571428571,Sell,188.9
5978,2022-11-10 12:15:00,17994.55,27.45,48.462857142857146,Buy,196.72
5987,2022-11-11 12:15:00,18324.9,71.32,41.32357142857143,Sell,199.91
6025,2022-11-18 13:15:00,18217.45,26.12,52.65714285714285,Buy,199.51
6045,2022-11-22 15:15:00,18253.45,70.94,37.825,Sell,199.28
6115,2022-12-02 13:15:00,18687.8,17.73,60.29571428571428,Buy,204.38
6170,2022-12-13 13:15:00,18575.95,75.66,49.20428571428572,Sell,203.53
6189,2022-12-15 14:15:00,18406.8,17.85,55.39071428571429,Buy,202.54
6255,2022-12-27 08:15:00,18089.8,72.92,37.31071428571429,Sell,197.75
6313,2023-01-05 11:15:00,17981.1,27.32,38.39857142857143,Buy,197.38
6337,2023-01-10 08:15:00,18121.3,77.49,52.635000000000005,Sell,197.81
6348,2023-01-11 10:15:00,17910.2,26.39,48.225,Buy,196.75
6371,2023-01-13 15:15:00,17962.95,70.69,45.50857142857143,Sell,196.69
6409,2023-01-20 16:15:00,18027.3,22.88,40.78071428571429,Buy,
6464,2023-02-01 08:15:00,17811.6,72.93,52.765,Sell,194.4
6569,2023-02-17 13:15:00,17910.15,12.17,58.55642857142857,Buy,196.18
6652,2023-03-03 14:15:00,17591.9,77.73,54.83142857142857,Sell,192.67
6683,2023-03-10 09:15:00,17392.65,20.0,41.74571428571428,Buy,190.99
6750,2023-03-21 14:15:00,17104.2,71.94,48.441428571428574,Sell,187.27
6778,2023-03-24 15:15:00,16919.35,19.99,39.04357142857143,Buy,185.86
6807,2023-03-31 08:15:00,17210.35,73.75,52.785,Sell,188.39
6894,2023-04-19 13:15:00,17595.55,22.54,41.065,Buy,193.12
6925,2023-04-25 08:15:00,17761.55,76.03,58.03928571428571,Sell,193.99
7052,2023-05-17 08:15:00,18300.45,29.65,55.39071428571429,Buy,200.15
7082,2023-05-22 11:15:00,18316.95,70.78,50.722142857142856,Sell,200.59
7103,2023-05-25 13:15:00,18241.1,18.66,49.737857142857145,Buy,199.75
7109,2023-05-26 10:15:00,18413.85,73.94,44.45428571428572,Sell,201.27
7202,2023-06-09 13:15:00,18575.35,28.9,50.99142857142857,Buy,204.2
7215,2023-06-13 16:15:00,18718.65,71.34,48.39642857142858,Sell,205.57
7257,2023-06-20 13:15:00,18752.5,29.17,48.34571428571429,Buy,205.8
7262,2023-06-21 09:15:00,18869.5,75.21,47.71571428571429,Sell,206.65
7280,2023-06-23 09:15:00,18690.5,21.01,51.78071428571428,Buy,205.86
7300,2023-06-27 11:15:00,18750.6,70.24,42.24285714285715,Sell,205.6
7455,2023-07-24 16:15:00,19665.4,25.14,41.20214285714286,Buy,217.1
7467,2023-07-26 10:15:00,19804.4,75.52,40.75928571428572,Sell,218.05
7484,2023-07-28 09:15:00,19618.5,28.27,53.305714285714295,Buy,216.45
7498,2023-07-31 14:15:00,19760.0,75.19,41.18357142857143,Sell,217.25
7513,2023-08-02 11:15:00,19540.55,16.47,57.515,Buy,215.58
7537,2023-08-07 08:15:00,19576.85,73.23,47.26357142857143,Sell,215.25
7558,2023-08-09 11:15:00,19489.05,27.89,51.97500000000001,Buy,214.94
7589,2023-08-16 14:15:00,19461.75,72.77,42.18642857142857,Sell,214.29
7602,2023-08-18 09:15:00,19266.35,25.09,48.27857142857143,Buy,212.99
7622,2023-08-22 11:15:00,19431.8,72.51,57.39714285714286,Sell,213.55
7652,2023-08-25 14:15:00,19263.15,13.23,40.42785714285714,Buy,212.8
7675,2023-08-30 10:15:00,19447.7,74.59,62.28357142857143,Sell,214.09
7791,2023-09-20 08:15:00,19980.75,15.25,55.480714285714285,Buy,220.71
7881,2023-10-05 16:15:00,19546.6,78.23,50.68285714285714,Sell,216.01
7899,2023-10-09 16:15:00,19497.5,27.53,52.10928571428571,Buy,216.27
7905,2023-10-10 13:15:00,19696.05,74.75,44.94285714285714,Sell,216.95
7952,2023-10-18 14:15:00,19672.05,27.36,54.92785714285714,Buy,217.62
8007,2023-10-27 15:15:00,19045.7,75.3,36.962857142857146,Sell,210.54
8083,2023-11-10 09:15:00,19349.1,26.82,51.39428571428572,Buy,213.7
