,Unnamed: 0,datetime,close,RSI,RSI_SMA,Signal,ltp
4282,4282,2022-01-12 12:15:00,18185.3,80.56,81.85642857142857,Sell,
4285,4285,2022-01-12 15:15:00,18205.5,77.73,80.965,Sell,
4338,4338,2022-01-20 14:15:00,17764.3,18.16,16.924285714285713,Buy,
4357,4357,2022-01-25 12:15:00,17129.6,26.17,25.092142857142854,Buy,
4423,4423,2022-02-04 15:15:00,17501.95,32.85,32.82071428571429,Buy,
4434,4434,2022-02-08 08:15:00,17279.85,31.82,27.74714285714285,Buy,
4437,4437,2022-02-08 11:15:00,17180.65,27.93,25.22571428571429,Buy,
4458,4458,2022-02-10 14:15:00,17599.55,71.32,72.68428571428572,Sell,
4460,4460,2022-02-10 16:15:00,17587.45,72.27,74.32928571428572,Sell,
4546,4546,2022-02-25 09:15:00,16638.05,32.56,26.52928571428572,Buy,
4594,4594,2022-03-08 09:15:00,15887.55,26.94,25.74785714285714,Buy,
4616,4616,2022-03-10 13:15:00,16524.55,72.66,80.32642857142856,Sell,
4666,4666,2022-03-21 09:15:00,17232.75,76.91,78.62357142857142,Sell,
4728,4728,2022-04-04 13:15:00,17994.45,80.98,84.22571428571428,Sell,
4753,4753,2022-04-07 11:15:00,17761.8,27.9,26.207142857142856,Buy,
4804,4804,2022-04-19 08:15:00,17258.95,29.0,27.420714285714286,Buy,
4806,4806,2022-04-19 10:15:00,17194.1,27.66,24.835714285714285,Buy,
4903,4903,2022-05-05 16:15:00,16669.2,33.73,32.38928571428572,Buy,
4907,4907,2022-05-06 11:15:00,16416.9,34.81,32.412142857142854,Buy,
4916,4916,2022-05-09 11:15:00,16323.4,29.14,24.957142857142856,Buy,
4974,4974,2022-05-18 14:15:00,16235.3,76.73,82.5492857142857,Sell,
5000,5000,2022-05-23 13:15:00,16264.3,70.38,71.18142857142857,Sell,
5049,5049,2022-05-31 08:15:00,16578.45,72.9,83.21857142857142,Sell,
5132,5132,2022-06-15 09:15:00,15744.45,21.93,19.857857142857146,Buy,
5157,5157,2022-06-17 16:15:00,15335.1,27.96,22.819285714285712,Buy,
5176,5176,2022-06-22 08:15:00,15545.65,69.97,73.78714285714285,Sell,
5201,5201,2022-06-27 14:15:00,15835.75,68.85,71.93642857142856,Sell,
5279,5279,2022-07-08 11:15:00,16180.3,66.93,70.43428571428572,Sell,
5333,5333,2022-07-19 10:15:00,16323.2,78.72,79.1707142857143,Sell,
5346,5346,2022-07-20 14:15:00,16516.2,70.75,71.04071428571429,Sell,
5353,5353,2022-07-21 12:15:00,16542.7,71.74,72.66428571428571,Sell,181.4
5367,5367,2022-07-25 08:15:00,16662.55,66.72,67.27642857142857,Sell,181.55
5408,5408,2022-07-29 13:15:00,17079.15,87.29,93.90642857142858,Sell,186.01
5464,5464,2022-08-10 14:15:00,17537.65,69.42,69.65214285714286,Sell,190.96
5468,5468,2022-08-11 09:15:00,17673.2,68.06,69.18499999999999,Sell,192.31
5475,5475,2022-08-11 16:15:00,17638.65,66.93,67.55714285714285,Sell,191.95
5499,5499,2022-08-17 13:15:00,17924.05,73.89,78.30785714285715,Sell,195.4
5503,5503,2022-08-18 08:15:00,17898.65,74.56,76.45714285714287,Sell,194.94
5531,5531,2022-08-23 09:15:00,17517.0,29.41,12.769285714285711,Buy,190.1
5634,5634,2022-09-09 12:15:00,17829.45,69.95,70.42571428571429,Sell,194.64
5641,5641,2022-09-12 10:15:00,17946.9,66.61,71.12714285714286,Sell,195.85
5654,5654,2022-09-13 14:15:00,18070.0,65.87,67.84428571428572,Sell,197.06
5656,5656,2022-09-13 16:15:00,18066.5,66.88,67.9207142857143,Sell,195.0
5678,5678,2022-09-19 10:15:00,17650.4,30.91,27.58571428571428,Buy,192.71
5727,5727,2022-09-26 14:15:00,17021.55,22.63,21.23,Buy,186.85
5865,5865,2022-10-19 11:15:00,17547.45,76.88,77.5992857142857,Sell,191.65
5893,5893,2022-10-25 09:15:00,17757.2,68.06,68.09714285714286,Sell,193.64
5924,5924,2022-11-01 12:15:00,18068.5,76.48,82.56142857142858,Sell,197.75
5966,5966,2022-11-09 09:15:00,18222.95,65.67,69.00428571428571,Sell,199.0
5997,5997,2022-11-14 13:15:00,18373.1,76.62,82.99214285714285,Sell,200.28
6058,6058,2022-11-24 10:15:00,18365.0,68.29,69.80428571428571,Sell,200.27
6070,6070,2022-11-25 13:15:00,18486.95,75.4,76.17214285714286,Sell,201.98
6107,6107,2022-12-01 14:15:00,18808.15,71.57,73.63357142857144,Sell,205.66
6179,6179,2022-12-14 13:15:00,18634.4,67.56,71.575,Sell,204.38
6200,6200,2022-12-16 16:15:00,18270.1,20.3,18.50857142857143,Buy,
6247,6247,2022-12-26 09:15:00,17933.45,25.61,24.52428571428572,Buy,195.35
6358,6358,2023-01-12 11:15:00,17814.85,34.86,33.84571428571429,Buy,195.01
6443,6443,2023-01-27 14:15:00,17611.6,23.97,16.998571428571427,Buy,191.98
6554,6554,2023-02-15 16:15:00,18023.2,71.78,74.485,Sell,197.7
6556,6556,2023-02-16 09:15:00,18108.65,75.28,76.78857142857143,Sell,197.7
6558,6558,2023-02-16 11:15:00,18089.35,73.8,76.82285714285715,Sell,198.0
6561,6561,2023-02-16 14:15:00,18034.1,66.26,75.13928571428572,Sell,197.63
6580,6580,2023-02-20 15:15:00,17851.8,26.92,26.527142857142856,Buy,195.65
6605,6605,2023-02-23 13:15:00,17569.1,22.46,18.98642857142857,Buy,192.59
