datetime,open,high,low,close,volume
2023-03-01 14:45:00,17465.5,17467.5,17442.9,17447.1,0
2023-03-01 15:15:00,17447.15,17459.4,17445.9,17450.9,0
2023-03-02 09:15:00,17421.5,17444.55,17364.15,17388.15,0
2023-03-02 09:45:00,17388.75,17393.45,17344.45,17354.35,0
2023-03-02 10:15:00,17354.5,17387.55,17345.7,17382.95,0
2023-03-02 10:45:00,17382.85,17388.0,17356.15,17376.1,0
2023-03-02 11:15:00,17376.05,17380.95,17363.0,17376.05,0
2023-03-02 11:45:00,17375.5,17401.8,17373.95,17386.8,0
2023-03-02 12:15:00,17387.35,17391.8,17370.7,17377.8,4147238
2023-03-02 12:45:00,17377.6,17388.3,17350.6,17350.6,17357656
2023-03-02 13:15:00,17350.75,17368.15,17316.05,17316.05,7570956
2023-03-02 13:45:00,17316.0,17339.65,17306.5,17334.3,0
2023-03-02 14:15:00,17334.45,17345.4,17317.75,17323.85,0
2023-03-02 14:45:00,17323.65,17336.2,17314.35,17329.4,0
2023-03-02 15:15:00,17329.95,17330.65,17311.45,17321.9,0
2023-03-03 09:15:00,17451.25,17487.0,17430.5,17462.9,0
2023-03-03 09:45:00,17463.5,17514.3,17462.4,17512.65,0
2023-03-03 10:15:00,17513.9,17533.8,17508.55,17531.3,0
2023-03-03 10:45:00,17531.45,17555.85,17530.5,17547.85,0
2023-03-03 11:15:00,17547.5,17578.45,17534.9,17575.15,0
2023-03-03 11:45:00,17575.65,17578.05,17563.3,17570.55,0
2023-03-03 12:15:00,17570.55,17575.25,17535.9,17540.2,8827222
2023-03-03 12:45:00,17540.9,17565.65,17539.9,17561.65,18929042
2023-03-03 13:15:00,17561.05,17603.8,17560.55,17603.2,12242700
2023-03-03 13:45:00,17602.7,17613.75,17596.7,17609.75,0
2023-03-03 14:15:00,17609.7,17632.55,17609.2,17623.6,0
2023-03-03 14:45:00,17622.85,17644.7,17587.2,17591.9,0
2023-03-03 15:15:00,17592.45,17598.35,17585.0,17594.35,0
2023-03-06 09:15:00,17680.35,17765.45,17680.35,17763.5,0
2023-03-06 09:45:00,17763.05,17779.15,17753.6,17775.15,0
2023-03-06 10:15:00,17775.2,17793.9,17774.25,17783.95,0
2023-03-06 10:45:00,17783.4,17798.35,17758.25,17779.35,0
2023-03-06 11:15:00,17779.75,17780.8,17750.05,17774.4,0
2023-03-06 11:45:00,17774.2,17786.85,17762.9,17779.6,0
2023-03-06 12:15:00,17779.7,17785.95,17751.95,17762.15,9866496
2023-03-06 12:45:00,17762.4,17776.25,17739.4,17770.5,30888501
2023-03-06 13:15:00,17770.1,17773.8,17725.5,17734.5,16456723
